"Dataset","Number of the triple","Time"
"result","339","3.038912057876587"
"result","340","3.038947582244873"
"result","341","3.0389814376831055"
"result","342","3.038994789123535"
"result","343","3.0390493869781494"
"result","344","3.039088726043701"
"result","345","3.039094924926758"
"result","346","3.0391077995300293"
"result","347","3.039118766784668"
"result","348","3.039154291152954"
"result","349","3.0391604900360107"
"result","350","3.039170503616333"
"result","351","3.0391809940338135"
"result","352","3.0392138957977295"
"result","353","3.039219856262207"
"result","354","3.039229154586792"
"result","355","3.0392396450042725"
"result","356","3.039827346801758"
"result","357","3.039846181869507"
"result","358","3.039860725402832"
"result","359","3.0404069423675537"
"result","360","3.040426731109619"
"result","361","3.0404441356658936"
"result","362","3.040480375289917"
"result","363","3.040492534637451"
"result","364","3.0405030250549316"
"result","365","3.0405313968658447"
"result","366","3.0405426025390625"
"result","367","3.040553569793701"
"result","368","3.0406033992767334"
"result","369","3.040618419647217"
"result","370","3.0406291484832764"
"result","371","3.041003704071045"
"result","372","3.041023015975952"
"result","373","3.041074514389038"
"result","374","3.041093111038208"
"result","375","3.0411055088043213"
"result","376","3.0411176681518555"
"result","377","3.0411300659179688"
"result","378","3.0411455631256104"
"result","379","3.0411581993103027"
"result","380","3.041170835494995"
"result","381","3.0411834716796875"
"result","382","3.041195869445801"
"result","383","3.041212558746338"
"result","384","3.0412304401397705"
"result","385","3.041248321533203"
"result","386","3.0412607192993164"
"result","387","3.0412724018096924"
"result","388","3.0412802696228027"
"result","389","3.0412943363189697"
"result","390","3.04133939743042"
"result","391","3.0413529872894287"
"result","392","3.041364908218384"
"result","393","3.0413784980773926"
"result","394","3.041389226913452"
"result","395","3.0414044857025146"
"result","396","3.0414223670959473"
"result","397","3.0414464473724365"
"result","398","3.041465997695923"
"result","399","3.041478395462036"
"result","400","3.041489601135254"
"result","401","3.041501045227051"
"result","402","3.0415151119232178"
"result","403","3.041527032852173"
"result","404","3.041537284851074"
"result","405","3.0415475368499756"
"result","406","3.041557550430298"
"result","407","3.041562795639038"
"result","408","3.041574716567993"
"result","409","3.0416157245635986"
"result","410","3.04162859916687"
"result","411","3.0416452884674072"
"result","412","3.041656017303467"
"result","413","3.041666269302368"
"result","414","3.041686534881592"
"result","415","3.041698694229126"
"result","416","3.041710376739502"
"result","417","3.0417211055755615"
"result","418","3.0417320728302"
"result","419","3.0417444705963135"
"result","420","3.0417559146881104"
"result","421","3.041766405105591"
"result","422","3.041776418685913"
"result","423","3.0417861938476562"
"result","424","3.0417914390563965"
"result","425","3.0418031215667725"
"result","426","3.041839122772217"
"result","427","3.041851282119751"
"result","428","3.0418622493743896"
"result","429","3.041872978210449"
"result","430","3.0418834686279297"
"result","431","3.041893482208252"
"result","432","3.0419414043426514"
"result","433","3.041957378387451"
"result","434","3.041968822479248"
"result","435","3.041980266571045"
"result","436","3.0419931411743164"
"result","437","3.0420050621032715"
"result","438","3.042015314102173"
"result","439","3.042025566101074"
"result","440","3.0420353412628174"
"result","441","3.042041063308716"
"result","442","3.042052984237671"
"result","443","3.0420897006988525"
"result","444","3.042102098464966"
"result","445","3.0421183109283447"
"result","446","3.042128801345825"
"result","447","3.0421390533447266"
"result","448","3.042156457901001"
"result","449","3.0421676635742188"
"result","450","3.0421786308288574"
"result","451","3.042189359664917"
"result","452","3.0422000885009766"
"result","453","3.042255163192749"
"result","454","3.042268753051758"
"result","455","3.0422794818878174"
"result","456","3.0422940254211426"
"result","457","3.0423014163970947"
"result","458","3.04231595993042"
"result","459","3.0423593521118164"
"result","460","3.042371988296509"
"result","461","3.0423877239227295"
"result","462","3.04239821434021"
"result","463","3.0424084663391113"
"result","464","3.0424325466156006"
"result","465","3.0424447059631348"
"result","466","3.0424551963806152"
"result","467","3.0424656867980957"
"result","468","3.0424768924713135"
"result","469","3.0424892902374268"
"result","470","3.0425004959106445"
"result","471","3.042510509490967"
"result","472","3.042520523071289"
"result","473","3.0425302982330322"
"result","474","3.0425353050231934"
"result","475","3.042546510696411"
"result","476","3.0425827503204346"
"result","477","3.0425949096679688"
"result","478","3.0426111221313477"
"result","479","3.0426218509674072"
"result","480","3.0426321029663086"
"result","481","3.042653799057007"
"result","482","3.042665719985962"
"result","483","3.0426764488220215"
"result","484","3.042686700820923"
"result","485","3.0426974296569824"
"result","486","3.0427093505859375"
"result","487","3.0427205562591553"
"result","488","3.0427305698394775"
"result","489","3.042741298675537"
"result","490","3.0427510738372803"
"result","491","3.042929172515869"
"result","492","3.042963981628418"
"result","493","3.043041706085205"
"result","494","3.0430591106414795"
"result","495","3.043079137802124"
"result","496","3.0430917739868164"
"result","497","3.043102979660034"
"result","498","3.0431137084960938"
"result","499","3.0431277751922607"
"result","500","3.0431454181671143"
"result","501","3.0431571006774902"
"result","502","3.043168783187866"
"result","503","3.043182611465454"
"result","504","3.0431947708129883"
"result","505","3.043205499649048"
"result","506","3.0432205200195312"
"result","507","3.0432262420654297"
"result","508","3.0432794094085693"
"result","509","3.04329776763916"
"result","510","3.043318033218384"
"result","511","3.0433428287506104"
"result","512","3.043367862701416"
"result","513","3.0433876514434814"
"result","514","3.0434365272521973"
"result","515","3.0434536933898926"
"result","516","3.0434730052948"
"result","517","3.04349684715271"
"result","518","3.043520212173462"
"result","519","3.04353928565979"
"result","520","3.043588876724243"
"result","521","3.043606758117676"
"result","522","3.043626308441162"
"result","523","3.043649911880493"
"result","524","3.043673515319824"
"result","525","3.0436923503875732"
"result","526","3.0437541007995605"
"result","527","3.0437724590301514"
"result","528","3.043793201446533"
"result","529","3.0438177585601807"
"result","530","3.043842315673828"
"result","531","3.0438616275787354"
